Date,Close,High,Low,Open,Volume
2021-03-03,2653.20947265625,2657.459241182454,2599.26218680881,2632.307048625571,3509857
2021-03-04,2645.05615234375,2672.5934623026014,2615.871025070524,2621.8988348222974,3916760
2021-03-05,2608.93310546875,2656.765556276552,2599.0023675543516,2615.9150500997966,3203686
2021-03-08,2607.97900390625,2630.5726557786415,2598.4819244025093,2615.828265686905,2003125
2021-03-09,2646.140869140625,2659.974533518005,2595.0993886106608,2607.978919549329,1942397
2021-03-10,2663.4873046875,2682.785109429216,2653.990225152841,2666.999981158492,3053778
2021-03-12,2652.2119140625,2703.42702403116,2637.8145792568857,2666.999710906582,2938317
2021-03-15,2659.323486328125,2687.8149296716683,2637.510552156032,2637.510552156032,3097083
2021-03-16,2697.399169921875,2724.242587644878,2653.989913464924,2653.989913464924,4894756
2021-03-17,2699.914306640625,2736.3850274060687,2675.933077232486,2693.0191791112024,3838390
2021-03-18,2633.6083984375,2728.9698721124687,2590.7196097964415,2711.1898713984992,3656306
2021-03-19,2645.489990234375,2687.8150976910692,2606.287308345164,2627.9702310435428,5776626
2021-03-22,2714.3984375,2722.8981860522467,2618.1262549990556,2644.189171980529,2821646
2021-03-23,2725.630615234375,2748.52770039675,2708.5011036904066,2723.375506230923,3305973
2021-03-24,2706.9833984375,2734.0436487376264,2698.3534241722164,2698.396832375288,2207104
2021-03-25,2658.197021484375,2715.4399527298974,2645.317277255193,2699.2643610189275,3179786
2021-03-26,2659.88720703125,2704.2937848825622,2639.28843301234,2680.57258568188,3697370
2021-03-30,2739.4638671875,2765.3965580858217,2654.7702439160366,2673.93803231726,4694008
2021-03-31,2756.20263671875,2779.7502019364074,2716.4360787721776,2736.3843641526882,3530069
2021-04-01,2745.05810546875,2788.4239523165975,2727.711766729611,2767.695162222246,4285076
2021-04-05,2809.153076171875,2830.0555015349146,2732.915993054403,2750.262333854494,5317862
2021-04-06,2831.529541015625,2840.462947750376,2801.43368587289,2840.462947750376,2291562
2021-04-07,2837.3408203125,2842.6749470447644,2805.5971443641874,2826.5861739415063,2491268
2021-04-08,2877.194091796875,2892.5021519199554,2832.700688010083,2836.1265477595966,2578118
2021-04-09,2881.444091796875,2909.2850540175705,2869.0848237381483,2908.9814083487754,2911129
2021-04-12,2815.787841796875,2895.1907496618546,2786.8627372733504,2881.4436915230553,3791828
2021-04-13,2692.1953125,2787.55677204421,2665.3084861361635,2787.55677204421,8654596
2021-04-15,2791.85009765625,2807.7220415767556,2677.7979087714425,2740.9820387955283,6062760
2021-04-16,2771.20751953125,2816.1779856768385,2760.32286179011,2800.56628141377,3224657
2021-04-19,2742.283203125,2765.8741854997706,2719.1258792929543,2748.5278437907723,2679106
2021-04-20,2727.321533203125,2797.400784488991,2711.536407203048,2797.0971388602725,3141893
2021-04-22,2704.98828125,2730.313895106737,2693.236093640469,2730.313895106737,1988980
2021-04-23,2696.92236328125,2705.161875244965,2680.9204060801317,2693.0194365615953,1615309
2021-04-26,2689.376220703125,2734.650119436634,2678.3179304960786,2690.4603668018553,2490260
